epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49191,1.33962,3.62482,1.03391,0.00452,0.02839,0.02279,0.01868,0.89897,3.87636,0.88413,1.25e-05,1.25e-05,1.25e-05
2,16.0101,1.237,3.56384,1.01024,0.00447,0.02839,0.02423,0.01749,0.84069,3.88522,0.86477,3.71287e-05,3.71287e-05,3.71287e-05
3,23.4627,1.05564,3.49961,0.93198,0.0043,0.02839,0.02498,0.01763,0.96139,3.87069,0.86249,6.12625e-05,6.12625e-05,6.12625e-05
4,30.8986,0.96229,3.43459,0.90515,0.00405,0.02839,0.02414,0.01699,1.11885,3.85818,0.86463,8.49012e-05,8.49012e-05,8.49012e-05
5,38.2597,1.1177,3.29656,0.90054,0.00383,0.02839,0.02693,0.02065,1.08837,3.85358,0.8583,0.000108045,0.000108045,0.000108045
6,45.5326,1.08453,3.12239,0.89655,0.00367,0.02839,0.02858,0.02623,0.90416,3.8637,0.85725,0.000130694,0.000130694,0.000130694
7,52.8924,0.95852,2.89891,0.88154,0.00341,0.02839,0.02833,0.02534,0.8153,3.86802,0.8585,0.000152847,0.000152847,0.000152847
8,60.3106,0.9856,2.60197,0.90407,0.00324,0.02839,0.02808,0.02699,0.79007,3.85259,0.8442,0.000174506,0.000174506,0.000174506
9,67.781,0.98961,2.37592,0.88458,0.0034,0.03596,0.02822,0.02671,0.80607,3.84863,0.84734,0.00019567,0.00019567,0.00019567
10,75.4325,0.95193,2.17492,0.87487,0.00357,0.04354,0.02814,0.02528,0.86231,3.83609,0.85736,0.000216339,0.000216339,0.000216339
11,83.6231,0.99628,2.11444,0.8686,0.00323,0.02839,0.02794,0.02469,0.91787,3.81517,0.86483,0.000236513,0.000236513,0.000236513
12,91.6057,1.0323,1.99792,0.8964,0.00323,0.02839,0.02795,0.02495,0.93352,3.79639,0.86826,0.000256191,0.000256191,0.000256191
13,99.5483,1.01773,1.89266,0.8867,0.0034,0.03596,0.02826,0.0264,0.90158,3.78038,0.86107,0.000275375,0.000275375,0.000275375
14,107.509,1.02086,1.76615,0.8819,0.00341,0.03596,0.02842,0.02566,0.86399,3.77052,0.85442,0.000294064,0.000294064,0.000294064
15,115.416,0.96167,1.73298,0.89853,0.00349,0.03596,0.02843,0.02567,0.82628,3.76332,0.84883,0.000312257,0.000312257,0.000312257
16,123.319,1.03125,1.54962,0.88894,0.00447,0.07384,0.02983,0.02625,0.84579,3.75232,0.84849,0.000329956,0.000329956,0.000329956
17,179.843,1.0308,1.46121,0.86432,0.00509,0.09657,0.03518,0.03036,0.90843,3.73837,0.85828,0.00034716,0.00034716,0.00034716
18,188.772,0.99564,1.39764,0.85312,0.00596,0.13445,0.04757,0.04252,0.96417,3.72653,0.86752,0.000363869,0.000363869,0.000363869
19,197.497,0.98265,1.31796,0.87814,0.00701,0.18748,0.0728,0.06119,0.97959,3.71457,0.87214,0.000380083,0.000380083,0.000380083
20,205.559,0.99174,1.21871,0.87215,0.00778,0.23293,0.10452,0.08661,0.94184,3.68946,0.86471,0.000395801,0.000395801,0.000395801
21,213.167,0.98712,1.21045,0.88595,0.00835,0.25566,0.12112,0.09988,0.9235,3.65541,0.85651,0.000411025,0.000411025,0.000411025
22,220.437,0.98065,1.10395,0.85145,0.00858,0.25566,0.1443,0.11816,0.92566,3.61644,0.85288,0.000425754,0.000425754,0.000425754
23,227.905,0.99052,1.07854,0.84098,0.00896,0.25566,0.1575,0.13037,0.94172,3.58309,0.85632,0.000439988,0.000439988,0.000439988
24,235.802,0.92818,0.98201,0.87256,0.00931,0.25566,0.15971,0.13264,0.90808,3.52767,0.85348,0.000453726,0.000453726,0.000453726
25,244.067,0.87185,0.97377,0.87642,0.98833,0.02747,0.14687,0.12056,0.90912,3.46951,0.85572,0.00046697,0.00046697,0.00046697
26,252.416,0.86174,0.906,0.85147,1,0.02732,0.14262,0.1175,0.90821,3.4049,0.8564,0.000479719,0.000479719,0.000479719
27,260.633,0.81242,0.91197,0.86444,0.99848,0.02747,0.15111,0.12563,0.84212,3.33176,0.84355,0.000491972,0.000491972,0.000491972
