epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1769,1.95692,1.05073,0.70548,3.72722,1.24043,0.98578,0.24702,0.28212,0.19286,0.0001,0.01351,7e-05,1e-05,1.72471,0.65979,0.6425,2.79217,1.01402,0.00025,0.00025,0.00025
2,148.006,1.76753,0.75234,0.52284,2.01054,0.93226,0.67093,0.82615,0.71987,0.43895,0.00038,0.03378,0.00033,3e-05,1.33078,0.61083,0.56926,3.0916,0.92924,0.000507426,0.000507426,0.000507426
3,220.845,1.54665,0.72621,0.43073,1.43836,0.89036,0.67989,0.90892,0.77619,0.4722,0.01594,0.00676,0.00214,0.00023,1.30507,0.5887,0.44694,1.67473,0.91288,0.000759655,0.000759655,0.000759655
4,292.894,1.42441,0.66864,0.37014,1.18023,0.86616,0.83706,0.86406,0.88249,0.55263,0.04373,0.04054,0.0128,0.00196,1.24651,0.54978,0.32634,1.06883,0.90269,0.00100669,0.00100669,0.00100669
5,364.779,1.36748,0.69196,0.31139,1.03569,0.86739,0.92156,0.92507,0.962,0.63658,0.10235,0.10135,0.04789,0.01006,1.0889,0.507,0.24923,0.866,0.86919,0.0012005,0.0012005,0.0012005
6,436.076,1.32905,0.56457,0.26063,0.91571,0.84397,0.97379,0.95315,0.9769,0.63789,0.1262,0.12162,0.09316,0.02871,1.077,0.46645,0.19346,0.8185,0.85797,0.00118812,0.00118812,0.00118812
7,508.143,1.22303,0.5171,0.21744,0.79773,0.83526,0.98088,0.96112,0.97999,0.67555,0.11171,0.10135,0.08639,0.04054,0.96492,0.46215,0.16559,0.73512,0.84488,0.00117575,0.00117575,0.00117575
8,579.884,1.21411,0.53308,0.19531,0.75264,0.832,0.97168,0.97302,0.98491,0.69239,0.1243,0.12162,0.06557,0.02719,0.93242,0.41819,0.12956,0.63432,0.84276,0.00116337,0.00116337,0.00116337
9,651.236,1.14202,0.52905,0.16397,0.69756,0.83593,0.97323,0.97426,0.98648,0.68624,0.16315,0.18243,0.15094,0.04867,0.95631,0.3965,0.10028,0.62592,0.8382,0.001151,0.001151,0.001151
10,724.605,1.08342,0.53821,0.14417,0.6665,0.83419,0.97929,0.97449,0.99058,0.71387,0.17232,0.16892,0.15552,0.0504,0.91359,0.37314,0.08295,0.63667,0.83967,0.00113863,0.00113863,0.00113863
