epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9846,2.12167,3.01792,4.53131,0.89365,0,0.01243,0.33698,0.33665,0.29833,0.02152,0.34063,0.33993,0.19275,1.55752,1.24551,4.71497,0.75374,0,7.69e-05,7.69e-05,7.69e-05
2,90.6866,1.91348,1.61649,3.78782,0.75969,0,0.00715,0.33455,0.33003,0.22299,0.0591,0.34915,0.35902,0.14367,1.05288,1.10874,4.48239,0.73899,0,0.000159891,0.000159891,0.000159891
3,138.198,1.74156,1.28668,2.96321,0.75612,0,0.00931,0.33577,0.33386,0.26979,0.16291,0.39294,0.43945,0.29858,1.02626,0.75983,4.38594,0.73156,0,0.000241208,0.000241208,0.000241208
4,184.508,1.51787,1.27649,1.87035,0.7524,0,0.0046,0.33455,0.32604,0.26531,0.03097,0.36131,0.34454,0.23605,1.01214,0.80485,4.14657,0.72883,0,0.000320849,0.000320849,0.000320849
5,230.384,1.34597,1.12072,1.35065,0.76567,0,0.004,0.33333,0.32419,0.30042,0.004,0.33333,0.32419,0.19447,1.03044,0.89736,4.01821,0.73321,0,0.000398816,0.000398816,0.000398816
6,276.156,1.33558,1.16611,1.32555,0.758,0,0.00477,0.33333,0.32638,0.31756,0.00477,0.33333,0.32638,0.22968,1.0281,0.74156,4.11603,0.74352,0,0.000475107,0.000475107,0.000475107
7,321.726,1.30397,1.02496,1.23942,0.76473,0,0.0075,0.33577,0.33133,0.29939,0.00549,0.33333,0.32866,0.25423,0.99037,0.66982,3.79863,0.74127,0,0.000549724,0.000549724,0.000549724
8,367.893,1.24696,1.06437,1.16868,0.75864,0,0.98985,0.33333,0.46572,0.39198,0.98985,0.33333,0.42371,0.27843,0.99803,0.71918,3.25043,0.73515,0,0.000622666,0.000622666,0.000622666
9,414.028,1.25538,1.03244,1.09142,0.74726,0,0.98906,0.33333,0.52436,0.4001,0.98968,0.33333,0.42211,0.27877,1.2492,0.58416,3.0758,0.74388,0,0.000693933,0.000693933,0.000693933
10,459.428,1.17951,0.9919,1.06806,0.75756,0,0.98895,0.33333,0.63299,0.49311,0.98895,0.33333,0.48123,0.29474,0.9959,0.60522,2.72513,0.72711,0,0.000700482,0.000700482,0.000700482
11,504.741,1.27504,1.11131,1.06081,0.75602,0,0.98565,0.34151,0.67759,0.53011,0.93582,0.34029,0.52992,0.31589,0.93235,0.5003,2.28617,0.73288,0,0.000692869,0.000692869,0.000692869
12,550.274,1.27362,1.12141,1.00559,0.75813,0,0.96177,0.36579,0.68531,0.52005,0.86876,0.35606,0.53846,0.3074,0.91025,0.67862,1.81239,0.72316,0,0.000685256,0.000685256,0.000685256
13,613.611,1.2473,0.97552,0.98829,0.75368,0,0.98531,0.39298,0.71096,0.51275,0.84933,0.36865,0.5317,0.3049,0.89392,0.61162,1.73503,0.72325,0,0.000677643,0.000677643,0.000677643
14,659.973,1.2326,1.01866,0.94528,0.74638,0,0.98314,0.5738,0.80235,0.59565,0.82095,0.4562,0.56865,0.28669,0.82162,0.65467,1.35546,0.72143,0,0.00067003,0.00067003,0.00067003
15,707.728,1.15786,0.93949,0.90779,0.75259,0,0.97855,0.68629,0.91051,0.67965,0.87124,0.58653,0.71449,0.34278,0.85708,0.52488,1.32097,0.72818,0,0.000662417,0.000662417,0.000662417
16,758.012,1.1593,0.94261,0.90888,0.75218,0,0.95592,0.80164,0.93469,0.71969,0.80491,0.67096,0.70047,0.36185,0.75601,0.54806,1.06726,0.72069,0,0.000654804,0.000654804,0.000654804
17,806.919,1.03728,0.93228,0.84728,0.76896,0,0.97355,0.88849,0.94904,0.73397,0.81832,0.74756,0.72344,0.35483,0.72407,0.54598,0.89911,0.7186,0,0.00064719,0.00064719,0.00064719
18,856.478,1.02457,0.91453,0.78443,0.76142,0,0.96864,0.93214,0.96001,0.74354,0.78453,0.75588,0.71711,0.37554,0.75527,0.54392,0.76399,0.72272,0,0.000639577,0.000639577,0.000639577
19,908.771,1.10065,0.90977,0.8174,0.76276,0,0.95538,0.94445,0.9675,0.73598,0.77163,0.76324,0.72894,0.37392,0.69781,0.46869,0.77117,0.71859,0,0.000631964,0.000631964,0.000631964
20,956.813,1.09029,0.8801,0.77822,0.75508,0,0.96394,0.95828,0.98092,0.7374,0.78723,0.78137,0.74669,0.3718,0.83989,0.51024,0.72919,0.72314,0,0.000624351,0.000624351,0.000624351
21,1004.83,1.14384,0.86252,0.78848,0.75249,0,0.9739,0.96246,0.98294,0.75037,0.78522,0.77212,0.73975,0.37461,0.75069,0.52368,0.66891,0.7215,0,0.000616738,0.000616738,0.000616738
22,1052.89,1.02942,0.81502,0.74645,0.75769,0,0.96704,0.97645,0.98482,0.77187,0.79543,0.81347,0.7702,0.40228,0.63897,0.4725,0.62146,0.71381,0,0.000609125,0.000609125,0.000609125
23,1100.52,1.07931,0.88225,0.75131,0.75958,0,0.97076,0.98709,0.98559,0.74154,0.78586,0.80478,0.76139,0.37498,0.74517,0.58114,0.65733,0.72001,0,0.000601512,0.000601512,0.000601512
